X,Y,streamorde,IX,Shape_Leng,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
458210,4379365,4384,21564,4384,458210,4379365,728289,6.08311,726.95
458211,4379365,4384,21564,4384,458211,4379365,728322,6.69145,726.846
458212,4379364,4384,21564,4384,458212,4379364,891357,7.06662,726.666
458213,4379364,4384,21564,4384,458213,4379364,891362,8.96988,726.612
458214,4379363,4384,21564,4384,458214,4379363,891375,4.26429,726.609
458215,4379363,4384,21564,4384,458215,4379363,891376,4.56247,726.64
458216,4379363,4384,21564,4384,458216,4379363,891414,6.23503,726.572
458217,4379362,4384,21564,4384,458217,4379362,891482,2.06377,726.375
458218,4379362,4384,21564,4384,458218,4379362,891483,3.45485,726.498
458219,4379362,4384,21564,4384,458219,4379362,891629,9.43139,726.416
458220,4379362,4384,21564,4384,458220,4379362,891635,19.3053,726.281
458221,4379361,4384,21564,4384,458221,4379361,891877,13.2988,726.318
458222,4379360,4384,21564,4384,458222,4379360,891880,2.88683,726.338
458223,4379360,4384,21564,4384,458223,4379360,893884,6.68691,726.228
458224,4379360,4384,21564,4384,458224,4379360,893889,6.28853,726.2
458225,4379360,4384,21564,4384,458225,4379360,893894,5.01786,726.2
458226,4379360,4384,21564,4384,458226,4379360,893905,5.28044,726.22
458227,4379360,4384,21564,4384,458227,4379360,893908,10.2864,726.13
458228,4379360,4384,21564,4384,458228,4379360,893912,14.5039,725.992
458229,4379359,4384,21564,4384,458229,4379359,1107,6.3692,725.718
458230,4379358,4384,21564,4384,458230,4379358,12,13.0037,726.027
458231,4379358,4384,21564,4384,458231,4379358,895183,6.12691,726.02
458232,4379357,4384,21564,4384,458232,4379357,895184,4.64416,726.044
